City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Dakar,SN,86.13,broken clouds,14.6937,-17.4441,Novotel Dakar
3,Avera,US,82.45,overcast clouds,33.194,-82.5271,
5,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Ponta Do Sol,PT,88.43,overcast clouds,32.6667,-17.1,Hotel do Campo
7,Margate,GB,73.87,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
8,Kavieng,PG,80.65,light rain,-2.5744,150.7967,Nusa Island Retreat
10,Halifax,CA,85.89,clear sky,44.6453,-63.5724,Hotel Halifax
11,Eldorado,BR,71.56,clear sky,-23.7869,-54.2836,Villa Verde Hotel
12,Harper,LR,77.88,scattered clouds,4.375,-7.7169,Screensaver
15,Sao Joao Da Barra,BR,73.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
16,Noumea,NC,72.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
19,Mgandu,TZ,73.08,broken clouds,-5.95,34.1333,
20,Karaton,ID,72.7,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
21,Bani Walid,LY,81.79,clear sky,31.7566,13.9942,نيك بلاش
22,Aljezur,PT,72.21,clear sky,37.3191,-8.8033,Amazigh Hostel
24,Half Moon Bay,US,77.05,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
25,Dwarka,IN,81.75,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
26,Progreso,MX,87.91,few clouds,21.2833,-89.6667,Playa Linda Hotel
28,Lagdo,CM,71.44,light rain,9.05,13.7333,
29,Pilani,IN,87.12,overcast clouds,28.3684,75.6041,Hotel Sunshine Pilani
36,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
39,Atuona,PF,76.3,broken clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
40,Jamestown,US,78.39,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
41,Korla,CN,73.36,overcast clouds,41.7597,86.1469,Gulisitan Hotel
43,Constantine,DZ,87.21,clear sky,36.365,6.6147,Grand Hotel Cirta
44,Muroto,JP,81.37,clear sky,33.2833,134.15,Oota Ryokan
47,Faanui,PF,78.26,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
49,Huejuquilla El Alto,MX,74.16,broken clouds,22.6,-103.8667,Hotel Huexuquillan
50,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Central
53,Hilo,US,79.61,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
54,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
55,Arraial Do Cabo,BR,71.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
56,Butaritari,KI,81.23,broken clouds,3.0707,172.7902,Isles Sunset Lodge
57,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
58,Albany,US,87.64,overcast clouds,42.6001,-73.9662,
63,Mundo Nuevo,MX,85.19,few clouds,18.7,-95.5,
66,Hobyo,SO,76.8,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
67,Rikitea,PF,71.51,overcast clouds,-23.1203,-134.9692,People ThankYou
72,Pizarro,CO,80.78,light rain,4.9533,-77.366,Hotel Limonar
75,Bethel,US,86.54,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
76,Auriflama,BR,77.18,broken clouds,-20.6856,-50.5547,Capoia´s Hotel
77,Hithadhoo,MV,82.63,broken clouds,-0.6,73.0833,Scoop Guest House
78,Port Victoria,KE,72.7,broken clouds,0.0939,33.9756,Homepark motel
79,Benguela,AO,70.2,clear sky,-12.5763,13.4055,Hotel Praia Morena
80,Manhush,UA,82.08,scattered clouds,47.0558,37.3107,
85,Georgetown,MY,79.95,few clouds,5.4112,100.3354,Cititel Penang
86,Namatanai,PG,77.41,light rain,-3.6667,152.4333,Seagulls Inn Namatani
89,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
97,Saint George,US,86.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
98,Mapiri,BO,84.02,clear sky,-15.25,-68.1667,
100,Fomboni,KM,75.92,clear sky,-12.28,43.7425,Auberge les abou
101,Hambantota,LK,78.8,broken clouds,6.1241,81.1185,Bungalow 63
103,North Versailles,US,78.94,overcast clouds,40.3798,-79.8095,Tale Bellezza
104,Crossville,US,77.92,scattered clouds,35.949,-85.0269,Hampton Inn Crossville
107,Japaratuba,BR,78.08,broken clouds,-10.5933,-36.9403,Pousada Japaratuba
108,Bac Lieu,VN,79.2,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
112,Athni,IN,72.01,overcast clouds,16.7333,75.0667,Basawasri Lodge
115,San Jose,US,80.69,clear sky,37.3394,-121.895,The Westin San Jose
117,Gazanjyk,TM,79.0,clear sky,39.2446,55.5154,Railway motel
121,Kavaratti,IN,81.32,overcast clouds,10.5669,72.642,Green leaf
123,Bucine,IT,79.99,overcast clouds,43.4764,11.6148,B&B Toscana Station
126,Dingzhou,CN,78.91,light rain,38.5131,114.9956,宜家时尚宾馆
128,Anloga,GH,75.87,few clouds,5.7947,0.8973,Pin Drop Hotel
129,Severinia,BR,82.8,few clouds,-20.8094,-48.8028,Oasis Hotel
130,Canandaigua,US,85.19,overcast clouds,42.8742,-77.288,The Inn On The Lake
131,Hortobagy,HU,75.4,overcast clouds,47.5828,21.1511,Hajdu Lovasudvar Hortobágy
138,Lompoc,US,76.69,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
139,La Tuque,CA,75.45,overcast clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
