City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dakar,SN,14.6937,-17.4441,86.13,74,75,13.8,broken clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,81,100,14.97,overcast clouds
2,Dikson,RU,73.5069,80.5464,42.55,95,99,9.86,overcast clouds
3,Avera,US,33.194,-82.5271,82.45,64,100,4.21,overcast clouds
4,Mar Del Plata,AR,-38.0023,-57.5575,54.09,84,100,13.8,overcast clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,75.16,91,95,5.01,overcast clouds
6,Ponta Do Sol,PT,32.6667,-17.1,88.43,64,100,3.98,overcast clouds
7,Margate,GB,51.3813,1.3862,73.87,68,94,4.0,overcast clouds
8,Kavieng,PG,-2.5744,150.7967,80.65,77,41,10.18,light rain
9,Mataura,NZ,-46.1927,168.8643,48.47,99,100,2.84,overcast clouds
10,Halifax,CA,44.6453,-63.5724,85.89,60,1,11.5,clear sky
11,Eldorado,BR,-23.7869,-54.2836,71.56,58,2,7.27,clear sky
12,Harper,LR,4.375,-7.7169,77.88,75,41,9.24,scattered clouds
13,Castro,BR,-24.7911,-50.0119,61.79,67,59,4.79,broken clouds
14,Karratha,AU,-20.7377,116.8463,69.44,39,0,8.01,clear sky
15,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,60,93,13.15,overcast clouds
16,Noumea,NC,-22.2763,166.4572,72.0,99,100,12.19,overcast clouds
17,Hermanus,ZA,-34.4187,19.2345,55.8,83,0,12.68,clear sky
18,Vavatenina,MG,-17.4667,49.2,63.12,99,8,1.59,clear sky
19,Mgandu,TZ,-5.95,34.1333,73.08,39,72,11.36,broken clouds
20,Karaton,ID,-6.3424,106.1045,72.7,95,100,1.48,overcast clouds
21,Bani Walid,LY,31.7566,13.9942,81.79,39,0,15.23,clear sky
22,Aljezur,PT,37.3191,-8.8033,72.21,68,3,15.64,clear sky
23,Busselton,AU,-33.65,115.3333,49.28,72,19,10.6,few clouds
24,Half Moon Bay,US,37.4636,-122.4286,77.05,74,100,17.27,overcast clouds
25,Dwarka,IN,22.2394,68.9678,81.75,81,100,17.65,overcast clouds
26,Progreso,MX,21.2833,-89.6667,87.91,65,17,13.94,few clouds
27,Smithers,CA,54.7804,-127.1743,62.92,59,0,2.3,clear sky
28,Lagdo,CM,9.05,13.7333,71.44,96,100,1.43,light rain
29,Pilani,IN,28.3684,75.6041,87.12,60,86,3.56,overcast clouds
30,Port Alfred,ZA,-33.5906,26.891,57.18,66,0,0.98,clear sky
31,Bluff,NZ,-46.6,168.3333,48.79,82,98,4.47,overcast clouds
32,Makinsk,KZ,52.6292,70.4169,53.13,94,100,9.17,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,50.11,53,75,13.8,broken clouds
34,Havoysund,NO,70.9963,24.6622,64.63,88,100,10.96,overcast clouds
35,Cidreira,BR,-30.1811,-50.2056,61.43,64,2,7.94,clear sky
36,Vila Velha,BR,-20.3297,-40.2925,75.15,68,0,20.71,clear sky
