City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Deputatskiy,69.3,139.9,51.49,93,100,1.52,RU,2022-08-20 18:33:17
1,Port Elizabeth,-33.918,25.5701,52.32,83,40,16.11,ZA,2022-08-20 18:33:08
2,Mahebourg,-20.4081,57.7,71.89,73,75,13.8,MU,2022-08-20 18:33:18
3,Georgetown,5.4112,100.3354,82.89,87,20,3.44,MY,2022-08-20 18:33:18
4,Chuy,-33.6971,-53.4616,55.08,54,100,6.64,UY,2022-08-20 18:33:19
5,Khatanga,71.9667,102.5,37.24,78,13,4.5,RU,2022-08-20 18:33:19
6,Chara,56.9064,118.2631,45.5,94,100,5.84,RU,2022-08-20 18:33:19
7,Cassilandia,-19.1133,-51.7342,78.21,37,6,7.14,BR,2022-08-20 18:33:20
8,Mar Del Plata,-38.0023,-57.5575,64.94,34,0,20.71,AR,2022-08-20 18:33:20
9,Srednekolymsk,67.45,153.6833,59.58,64,96,8.37,RU,2022-08-20 18:33:21
10,Longyearbyen,78.2186,15.6401,40.84,75,20,8.05,SJ,2022-08-20 18:33:21
11,Atar,20.5169,-13.0499,100.45,28,0,2.3,MR,2022-08-20 18:33:21
12,Punta Arenas,-53.15,-70.9167,46.51,53,20,20.71,CL,2022-08-20 18:33:22
13,Hithadhoo,-0.6,73.0833,81.37,76,34,9.69,MV,2022-08-20 18:33:22
14,Geraldton,-28.7667,114.6,45.01,93,0,5.75,AU,2022-08-20 18:31:24
15,Pevek,69.7008,170.3133,46.24,60,7,12.21,RU,2022-08-20 18:33:27
16,Forio,40.7342,13.8646,79.09,68,0,18.34,IT,2022-08-20 18:33:27
17,Yerbogachen,61.2767,108.0108,45.19,91,100,4.07,RU,2022-08-20 18:33:28
18,Bluff,-46.6,168.3333,48.79,90,100,6.78,NZ,2022-08-20 18:33:28
19,Saint George,37.1041,-113.5841,93.63,35,0,4.0,US,2022-08-20 18:33:28
20,Atuona,-9.8,-139.0333,76.51,75,31,16.58,PF,2022-08-20 18:33:29
21,Waw,7.7029,27.9953,69.3,94,52,2.19,SS,2022-08-20 18:30:05
22,Busselton,-33.65,115.3333,56.05,72,100,5.5,AU,2022-08-20 18:33:29
23,Qaqortoq,60.7167,-46.0333,40.55,96,100,8.72,GL,2022-08-20 18:33:30
24,Progreso,21.2833,-89.6667,89.71,61,3,16.89,MX,2022-08-20 18:33:30
25,Leon Valley,29.4952,-98.6186,97.83,46,75,14.97,US,2022-08-20 18:33:30
26,Salinas,36.6777,-121.6555,74.01,70,40,8.05,US,2022-08-20 18:29:06
27,Rikitea,-23.1203,-134.9692,72.32,83,87,10.56,PF,2022-08-20 18:33:31
28,Hilo,19.7297,-155.09,81.28,71,0,6.91,US,2022-08-20 18:28:39
29,Santa Cruz,-17.8,-63.1667,71.65,24,0,14.97,BO,2022-08-20 18:33:31
30,Sayhat,26.4852,50.0405,98.82,42,0,7.23,SA,2022-08-20 18:33:32
31,Arraial Do Cabo,-22.9661,-42.0278,69.66,52,100,10.36,BR,2022-08-20 18:33:32
32,Cherskiy,68.75,161.3,54.88,53,6,11.74,RU,2022-08-20 18:33:15
33,Canatlan,24.5167,-104.7833,79.79,37,16,7.47,MX,2022-08-20 18:33:33
34,Port Alfred,-33.5906,26.891,50.18,90,90,8.01,ZA,2022-08-20 18:33:33
35,Barrow,71.2906,-156.7887,32.02,80,100,13.8,US,2022-08-20 18:33:34
36,San Ignacio,17.1561,-89.0714,91.54,58,75,4.61,BZ,2022-08-20 18:33:34
37,Itoman,26.1247,127.6694,84.22,84,20,9.22,JP,2022-08-20 18:33:35
38,Maicao,11.3832,-72.2432,92.3,50,23,9.6,CO,2022-08-20 18:33:35
39,Christchurch,-43.5333,172.6333,49.95,84,40,3.44,NZ,2022-08-20 18:33:20
40,Namibe,-15.1961,12.1522,62.83,87,30,3.13,AO,2022-08-20 18:33:36
41,Bredasdorp,-34.5322,20.0403,46.96,75,9,6.96,ZA,2022-08-20 18:33:37
42,Pavilosta,56.8879,21.1859,71.51,74,98,11.83,LV,2022-08-20 18:33:37
43,Mataura,-46.1927,168.8643,48.47,98,100,2.21,NZ,2022-08-20 18:33:38
44,Ushuaia,-54.8,-68.3,44.26,45,20,1.14,AR,2022-08-20 18:33:38
45,Norman Wells,65.282,-126.8329,55.44,71,75,11.5,CA,2022-08-20 18:33:38
46,Merauke,-8.4667,140.3333,74.19,84,97,12.15,ID,2022-08-20 18:31:42
47,Vaini,-21.2,-175.2,68.16,88,20,9.22,TO,2022-08-20 18:37:26
48,Kushmurun,52.4503,64.6311,60.1,73,99,4.09,KZ,2022-08-20 18:37:26
49,Hobart,-42.8794,147.3294,36.05,90,75,10.36,AU,2022-08-20 18:37:27
50,Vila Velha,-20.3297,-40.2925,67.95,86,100,23.02,BR,2022-08-20 18:37:27
51,Muhos,64.808,25.9931,73.18,66,100,8.55,FI,2022-08-20 18:37:27
52,Tasiilaq,65.6145,-37.6368,42.96,96,100,3.42,GL,2022-08-20 18:37:28
53,Qaanaaq,77.484,-69.3632,39.6,54,100,1.79,GL,2022-08-20 18:37:28
54,Sitka,57.0531,-135.33,57.09,94,100,5.75,US,2022-08-20 18:36:23
55,Airai,-8.9266,125.4092,51.55,79,3,4.41,TL,2022-08-20 18:37:33
56,Pascagoula,30.3658,-88.5561,92.41,80,40,5.75,US,2022-08-20 18:36:28
57,Roald,62.5833,6.1333,61.72,82,75,2.3,NO,2022-08-20 18:37:34
58,Bengkulu,-3.8004,102.2655,75.96,91,100,6.73,ID,2022-08-20 18:37:34
59,Katsuura,35.1333,140.3,76.71,96,100,6.82,JP,2022-08-20 18:37:35
60,Tuktoyaktuk,69.4541,-133.0374,42.8,81,100,5.75,CA,2022-08-20 18:37:35
61,Leningradskiy,69.3833,178.4167,37.67,82,21,9.62,RU,2022-08-20 18:37:36
62,Provideniya,64.3833,-173.3,48.6,69,100,6.73,RU,2022-08-20 18:37:36
63,Nome,64.5011,-165.4064,56.16,67,0,18.41,US,2022-08-20 18:37:37
64,Salalah,17.0151,54.0924,77.09,94,100,4.61,OM,2022-08-20 18:37:37
65,Jibuti,11.5,42.5,74.14,82,100,13.09,DJ,2022-08-20 18:37:37
66,Nikolskoye,59.7035,30.7861,66.78,50,0,8.9,RU,2022-08-20 18:37:38
67,Banda Aceh,5.5577,95.3222,79.43,81,99,11.54,ID,2022-08-20 18:35:27
